clase,instruccion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nada,"1.- Periodo de referencia de los datos: 
Durante el año: la información se refiere a lo existente del 1 de enero al 31 de diciembre de 2021.
Al cierre del año: la información se refiere a lo existente al 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"2.- Los catálogos utilizados en el presente cuestionario corresponden a denominaciones estándar, de tal forma que si el nombre de alguna clasificación no coincide exactamente con la utilizada en su institución, debe registrar los datos en aquella que sea homóloga. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"3.- En caso de que los registros con los que cuente no le permitan desglosar la información de acuerdo con los requerimientos solicitados, anote ""NS"" (No se sabe) en las celdas donde no disponga de información. En el recuadro para comentarios de cada pregunta debe proporcionar una justificación respecto del uso del ""NS"" en determinado reactivo. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"4.- No deje celdas en blanco, salvo en los casos en que la instrucción así lo solicite. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"Debe anotar el nombre de cada uno de los Tribunales Unitarios Agrarios que registre, no su clave y/o número de identificación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En el Complemento debe anotar la ubicación geográfica de cada uno de los Tribunales Unitarios Agrarios que registre, de acuerdo con los datos solicitados (ir al vínculo que se encuentra al final de las instrucciones). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"En la columna ""Fecha  de creación"", anote la fecha en la que se creó el Tribunal Unitario Agrario, de acuerdo con el formato correspondiente  [D. Día (dos dígitos dd), M. Mes (dos dígitos mm) y A. Año (cuatro dígitos aaaa)]. En caso de que desconozca algún dato, anote ""NS"" en las celdas correspondientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que seleccione el código ""Otra (especifique)"" deberá especificar el nombre de la circunscripción en el recuadro que se encuentra al final de la tabla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En la columna ""¿Tiene competencia en toda la entidad federativa?"", debe seleccionar el código ""1. Sí"", en el supuesto de que el Tribunal Unitario Agrario tenga competencia para conocer de cualquier asunto que haya ocurrido en su entidad federativa. En caso de que el Tribunal Unitario Agrario solo tenga competencia para conocer de asuntos que se hayan originado en alguna región o circunscripción de la entidad, debe seleccionar el código ""2. No"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
nada,La lista de los Tribunales Unitarios Agrarios que se despliega corresponde a los que reportó como respuesta en la pregunta anterior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"Para cada Tribunal Unitario Agrario, seleccione con una ""X"" la o las opciones que correspondan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que seleccione la columna ""Otro tipo"", debe anotar el nombre de dicho(s) estatus en el recuadro destinado para tal efecto que se encuentra al final de la tabla de respuesta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que determinado Tribunal Unitario Agrario no haya contado con computadoras en funcionamiento, o no cuente con información para determinarlo, indique en la columna correspondiente las opciones ""2. No"" o ""9. No se sabe"" y deje el resto de la fila en blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"Para cada Tribunal Unitario Agrario, la cantidad registrada en la columna ""Computadoras con conexión a internet"" debe ser igual o menor a la cantidad reportada en la columna ""Computadoras"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
nada,La lista de los Tribunales Unitarios Agrarios que se despliega corresponde a los que reportó como respuesta en la pregunta 2.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"Para cada Tribunal Unitario Agrario, en caso de que no haya seleccionado la columna ""Salas de audiencias"" de la pregunta 2.3, anote una ""X"" en la columna ""No aplica"" y deje el resto de la fila en blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
